response,context,context/0
Is the sex starting now?,"I mean, Im a perfectly nice guy. Theres no reason we couldnt go to the restaurant and have a lovely dinner. Maybe take a walk afterwards, talk about things we have in common, you love pottery? I love pottery! You know, theres a pause, we both know whats happening, I lean in, we kiss, its a little tentative at first but then I realise, shes kissing me back, and shes biting my lower lip, you know, she wants me, this thing is going the distance, were going to have sex! Oh God! Oh, my God!","If I could of, I would of."
"Oh, okay, well then, calm down.",Im having a panic attack.,Is the sex starting now?
"Alright, alright, well, just, sit down, yes, sit down, now close your eyes.","If I could calm down I wouldnt be having a panic attack, thats why they call it a panic attack.","Oh, okay, well then, calm down."
Just do it.,Why?,"Alright, alright, well, just, sit down, yes, sit down, now close your eyes."
Now try to increase your alpha-wave activity.,Okay.,Just do it.
"Its a bio-feedback technique, its relaxation through brain-wave manipulation, I read a paper about it in the Journal of American Neuroscience, it was a little sparsely sourced but I think the basic science is valid, I probably have it here somewhere.",What?,Now try to increase your alpha-wave activity.
Me?,"Oh, who am I kidding, I cant go through with this, you need to call her and cancel.","Its a bio-feedback technique, its relaxation through brain-wave manipulation, I read a paper about it in the Journal of American Neuroscience, it was a little sparsely sourced but I think the basic science is valid, I probably have it here somewhere."
What should I tell her.,Yes.,Me?
Okay.,I dont know. Tell her Im sick.,What should I tell her.
Got it. So Im assuming nothing venereal. Ill just tell her that you had a routine colonoscopy and havent quite bounced back.,"Not the kind of illness that will make her want to come over and take care of me, but nothing so critical that shell feel uncomfortable going out with me in the future if I want to try this again.",Okay.
But I thought you wanted to cancel?,Give me the phone.,Got it. So Im assuming nothing venereal. Ill just tell her that you had a routine colonoscopy and havent quite bounced back.
Why would she be expecting me?,I cant because if I dont show up shell still be expecting you.,But I thought you wanted to cancel?
"So, how was your date?","When I take a girl out on a date, and I do, she knows shes been dated. Capital D. Bold face, underline, like Day-ted. I think I might have a little concussion, Im going to go lay down for a while, good night.","Okay, I was just checking."
Score one for liquor and poor judgement.,Awesome!,"So, how was your date?"
Ive been thinking about time travel again.,Bill Prady  Steven Molaro,Score one for liquor and poor judgement.
"Put it on the back burner. Anyway, it occurs to me, if I ever did perfect a time machine, Id just go into the past and give it to myself, thus eliminating the need for me to invent it in the first place.","Why, did you hit a roadblock with invisibility?",Ive been thinking about time travel again.
"Yeah, it really takes the pressure off.",Interesting.,"Put it on the back burner. Anyway, it occurs to me, if I ever did perfect a time machine, Id just go into the past and give it to myself, thus eliminating the need for me to invent it in the first place."
"Its time travel, Leonard, I will have already done that.","Sounds like a breakthrough, should I call the science magazines and tell them to hold the front cover?","Yeah, it really takes the pressure off."
"No, congratulations will have been in order. You know, Im not going to enjoy this party.",Then I guess congratulations are in order.,"Its time travel, Leonard, I will have already done that."
"At the last department party, Dr Finkleday cornered me and talked about spelunking for 45 minutes.","I know, Im familiar with you.","No, congratulations will have been in order. You know, Im not going to enjoy this party."
"You know whats interesting about caves, Leonard?","Yes, I was there.","At the last department party, Dr Finkleday cornered me and talked about spelunking for 45 minutes."
Nothing.,What?,"You know whats interesting about caves, Leonard?"
"Hows this? Pleased to meet you, Dr Gablehouser. How fortunate for you that the University has chosen to hire you, despite the fact that youve done no original research in 25 years, and instead have written a series of popular books that reduce the great concepts of science to a series of anecdotes, each one dumbed down to accommodate the duration of an average bowel movement. Mahalo.","Well then well avoid Finkleday, well meet the new department head, congratulate him, shake his hand and go.",Nothing.
Do you know there are only eight consonants in the Hawaiian language.,Mahalos a nice touch.,"Hows this? Pleased to meet you, Dr Gablehouser. How fortunate for you that the University has chosen to hire you, despite the fact that youve done no original research in 25 years, and instead have written a series of popular books that reduce the great concepts of science to a series of anecdotes, each one dumbed down to accommodate the duration of an average bowel movement. Mahalo."
Well heres an interesting turn of events.,"Of course, but its all Indian food. You cant find a bagel in Mumbai to save your life. Schmear me.",You dont have buffets in India?
A more plausible explanation is that his work in robotics has made an amazing leap forward.,What.  Howard brought a date?,Well heres an interesting turn of events.
An actual real scientist.  How was that?,"Howard, nice to meet you, and you are?",Howard Wolowitz.
I cant believe he fired me.,An actual real scientist.  How was that?,"Howard, nice to meet you, and you are?"
"In my defence, I prefaced that by saying with all due respect.","Well, you did call him a glorified high-school science teacher whose last successful experiment was lighting his own farts.",I cant believe he fired me.
Morning.,Morning,"In my defence, I prefaced that by saying with all due respect."
"This isnt breakfast, its an experiment.",Youre making eggs for breakfast?,Morning.
"I finally have the time to test my hypothesis, about the separation of the water molecules from the egg proteins, and its impact vis-a-vis taste.",Huh? Cos it looks a lot like breakfast.,"This isnt breakfast, its an experiment."
As do I.,Sounds yummy. I look forward to your work with bacon.,"I finally have the time to test my hypothesis, about the separation of the water molecules from the egg proteins, and its impact vis-a-vis taste."
"I dont want my job back. Ive spent the last three and a half years staring at greaseboards full of equations. Before that I spent four years working on my thesis. Before that I was in college, and before that, I was in the fifth grade. This is my first day off in decades, and Im going to savour it.","You know, Im sure if you just apologised to Gablehauser he would give you your job back.",As do I.
